questionType,logs
Replay,visionnage de 10% 3eme episode interrompu
J'aimerai poser une question autour du coronavirus,Pourquoi la grande Bretagne qui vaccine deux fois plus vite que les autres ne vois aucuns résultats
Comment contacter le service client ?,(Message parti trop vite !) Y a t'il une rubrique qui garde les livres présentés??? Excusez moi pour le dérangement
Mon compte france.tv,"Bonjour, J'ai reçu un email hier de france.tv comme quoi depuis 17 mois je n'avais pas consulté, hors c'est faux puisqu'encore hier j'ai regardé des extraits ou carrément les reportages proposés donc ne me demandez pas de me supprimer.Merci"
J'aimerai poser une question autour du coronavirus,puisje promener mon chien en allant checher ma petite fille a plus d'un kilometre
Replay,"Comment accèder aux vidéos anciennes, non disponibles ?"
Comment proposer un sujet ?,je voudrais vous dire ci cela vous intéresses un reportage à faire?
Comment contacter le service client ?,m aimerai avoir un lien ou une adresse afin de trouver cet appariel pour faire du stand up paddle a la maison merci
J'aimerai poser une question autour du coronavirus,Attestation pour effectuer des travaux dans une résidence secondaire
Replay,non les vidèos marche pas dans ton site parceque mon pays et algeria
Comment contacter le service client ?,J'ai était tiré au sort quand je reçois mon lot ?
Replay,oui mais ca bouge pas vite dans le service public c'est tout le temps que ca deconne les repalys
Replay,comment visioner un replay?
Replay,mini serie avec Lola Dewaere
Mon compte france.tv,Bonjour. Il est impossible de donner mes réponses. Et ceci depuis pas mal de temps
Les directs,je ne peux pas voir france 2 en direct
J'aimerai poser une question autour du coronavirus,les personnes agées avec des patologies doivent elle attendre un vaccin valable pour etre rassurées et doivent elle etre masquéees et respecter les distances jusque là
Comment contacter le service client ?,bonjour je souhaite télécharger ou acheter les épisodes des carnets nature de lulu vroumette mais je ne trouve rien.
Quel est le programme TV ?,les derniers programmes TV ?
Mon compte france.tv,"bonjour, impossible de me conecter, j'essaie depuis ce matin et j'ai réinitialié le mot de passe"
Comment proposer un sujet ?,je parle dajouter plus de chanteurs pour les participants
Replay,comment regarder des replays
J'aimerai poser une question autour du coronavirus,bonjour; je doit voir ma copine que habite a 70 km de chez moi ; que dois je fairé ? je 68 ans elle 60
Comment contacter le service client ?,"Bonjour, puis-je envoyer un message à la direction"
Comment contacter le service client ?,"que ce soit sur Chrome, firefox ou edge, la fenêtre pour jouer sur le calendrier de l'avent jour 6 ne fonctionne pas"
Comment contacter le service client ?,"Je voudrais envoyer mai,"
Mon compte france.tv,Bonjour\nJ'essaie de m'inscrire mais rien à faire : la date 09/05/1949 est jugée non valide. Que faire ?
Comment contacter le service client ?,Je voudrais vous envoyer une photo 📷 de cette plante...
Comment proposer un sujet ?,apporter un commentaire à une emission
J'habite à l'étranger,J'habite en Angleterre. Est-ce que c'est possible de regarder les emsiions de france TV
Les directs,Comment regarder France Pays Bas Espoirs ??
S'abonner ou se désabonner à nos newsletters,Je ne souhaite pas les infos d occitane mais de nouvelle Aquitaine fr3 et de St Pierre et miquelon tf1 merci de corriger mon erreur
J'aimerai poser une question autour du coronavirus,"Mon mari revient en TGV depuis Paris, d'un séminaire professionnel et ce après 20h. Puis-je aller le chercher à son arrivée à la Gare de Lyon Part Dieu ?"
Comment installer Chromecast ?,comment m'inscrire à l'app
Comment proposer un sujet ?,Comment vous joindre pour un fait d'actualité
Replay,"J'ai redémarré ma box, rien de changé."
Replay,oui en replay
Comment proposer un sujet ?,"Bonsoir, je représente une assocation. comment faire apparaître dans une pastille ?"
Comment proposer un sujet ?,"Bonjour, je souhaite envoyer une proposition concernant l'émission secrets d'histoire"
Comment proposer un sujet ?,Bonjour à qui dois-je adresser un dossier dénonçant le comportement de la CPAM vis à vis d'une infirmière libérale atteinte par le coronavirus
Mon compte france.tv,je n'arrive pas à supprimer mon compte
Mon compte france.tv,Refus de mon adresse mail
Mon compte france.tv,"Bonjour, je n arrive pas à me connecter sur le replay avant première de plus belle la"
Comment proposer un sujet ?,"Bonjour. Je suis indignée par le reportage fait par votre rédaction sur les enseignants décrocheurs"". Vous participez à la dévalorisation de notre métier. """
Comment proposer un sujet ?,dans cette époque tristounette avec ce virus pourriez vous nous programmer des films divertissants à une heure correcte  merci
Comment contacter un animateur ?,"Bonsoir, je voulais remercier Madame Lapix, pour avoir donné un sujet à Monsieur Tom Rousset. Souhaitant que France TV puisse l'accompagner professionnellement. Nicolas GARDERES 33 Gironde. Bonne chance à ce jeune homme."
S'abonner ou se désabonner à nos newsletters,se désinscrire
Comment proposer un sujet ?,"Quand vous montrez Marie Jo Perec dans votre pub, ecoutez sur vos archives ce qu´elle disait de la France !!"
Replay,"Replay serie amour gloire et beauté .pkusieurs épisodes testés, même problème pour tous, je vois bien les 5 min de pub puis les p'tits points tournent et tournent sans fin...."
Comment contacter le service client ?,Bonjour France tv ne fonctionne pas sur ma smart tv samsunf
S'abonner ou se désabonner à nos newsletters,Je me suis abonnée par erreur comment me désabonner merci
Les directs,est-ce que le direct est considéré comme un programme en avant-premiere ?
Replay,"bonjour, je ne parviens pas à ouvrir la page pour la cinq replay"
Replay,direct et replays ne s ouvrent toujours pas safari et box sfr
Replay,"Puis-je podcaster une émission ? J'ai vu PIerre et le loup"""
Mon compte france.tv,"Votre application me dit que j'ai déjà un compte, elle me dit aussi qu'elle ne me reconnais pas, donc je ne paeux pas accéder à France TV et aux replays"
Mon compte france.tv,changement d'adresse mail dans mon compte
Comment proposer un sujet ?,"je veux proposer des images libres de droit à la rédaction, suis professionel"
Comment contacter un animateur ?,"Non, Claire Chazal"
J'aimerai poser une question autour du coronavirus,vous ne repondez pas à ma question ?????
Comment contacter le service client ?,où sont les contacts des rédactions?
Comment contacter le service client ?,contacter le service de presse
Replay,Bonjour les vidéos de la série miss fisher ne sont pas disponibles ... Vont-elles l'être un jours ou pas car je me suis inscrite juste pour ça... Merci
Comment contacter le service client ?,"Pourquoi arrêter l'emission je t'aime etc. ???? Ct top l équipe formidable , ils vont trop ns manquer"
Comment contacter le service client ?,par quel moyen contacter votre service
Mon compte france.tv,comment je dois supprimer mon compte
Comment contacter le service client ?,Quelle est votre adresse mail
Mon compte france.tv,Je souhaite supprimer mon inscription
S'abonner ou se désabonner à nos newsletters,Je souhaite me désinscrire de ce site.
Comment contacter le service client ?,"attaché de presse à la CDH, je souhaiterais contacter la rédaction de France 3 alsace"
Replay,"pas possible de s inscrire, il refuse ma date de naissance"
Comment contacter le service client ?,"Bjr Stéphane, je m'adresse à toi pour commander deux hors-série, je ne sais pas comment faire. Les bulbes et la multiplication de À à Z Ce sont deux hors-série qui me seront bien utiles. Merci d'avance Stéphane."
Replay,"Le replay sur Francetelevisions, puis-je le conserver?"
Replay,J'ai un abonnement au replay France tv à 2 euros comment puis je transferer un programme vers la tv
Replay,comment obtenir cette video plus longtemps
Comment contacter le service client ?,"je recherche le constructeur de maison à partir de container qui est situé en France et qui est passé à la télévision dans une émission dimanche 6 décembre au soir entre 22 et 24h, je ne sais plus exactement. Important pour moi de retrouver"
Replay,"La première mi-temps du match de rugby France-Galles du 24/10/2020 est est bien sur le Replay. Mais pas la deuxième mi-temps. Si ce n'est pas pour des raisons juridiques ou techniques, alors c'est un oubli !"
Replay,"Bonsoir, j'aimerai revoir l'émission archipel j'irai faner sur vos tombes"" svp"""
Comment contacter un animateur ?,J'aimerais pouvoir contacter le docteur Michel Cymes pour lui poser quelques questions sur la maladie d'Alzheimer pour le grand Oral du BAC 2021.
Mon compte france.tv,Puis-je créer un compte si je ne suis pas Francais ?
Replay,vidéo
Quel est le programme TV ?,Quand sera diffusé la vie secrète des chansons ?
Mon compte france.tv,impossible de réactivier
S'abonner ou se désabonner à nos newsletters,Bonjour je souhaite me désinscrire de la newsletter il n'y a pas moyen votre lien pour le fire ne fonctionne pas. C 'est illégal
Mon compte france.tv,J'ai vérifié dans les spams j'ai cliqué sur le lien et j'ai réinitialise mon mot de passe mais je reste inconnue. Etes-vous un robot ?
J'habite à l'étranger,Vous me situez en Roumanie alors que je suis dans les PO (Pyrénées Orientales) je viens donc d'aprendre que les PO etaient en Roumanie
Replay,"Bonjour, Est-il possible de retrouver sur votre plateforme de films en VoD un documentaire de 2010 co-produit par France.tv ?"
Comment proposer un sujet ?,suggérer une idee
Comment proposer un sujet ?,Commenter un reportage
Comment contacter le service client ?,"Pour un projey j'aimerais prendre des images / audios de l'émission ça commence aujourd'hui "" comment puis je contacter la prodcution ? """
S'abonner ou se désabonner à nos newsletters,je souhaite lme désabonner de tout le site qui m'innonde d'e-mail qui ne m'interresse plus meerci
J'aimerai poser une question autour du coronavirus,J'ai reçu la deuxième injection le 17 juin doit je faire un test PCR pour l'Espagne départ le 1er juillet
Mon compte france.tv,ouvrir un nouveau compte
Quel est le programme TV ?,quels sont les westerns prévus sur F2 et F3?
Replay,"Nous aimerions utiliser, dans un film que nous allons tourner à l'automne et qui fait suite à un court métrage, Jusqu'à l""os"""
Comment contacter le service client ?,"Bonjour, je souhaite vous communiquer par courrier avec l'adresse postale, c'est possible svp ?"
Comment contacter un animateur ?,J'aimerais entrer en contact avec un candidat au QPUC de ce soir 18 novembre au sujet de sa collection de règles à calcul. Comment dois-je procéder ?
J'aimerai poser une question autour du coronavirus,J'aimerais poser une question sur le
J'habite à l'étranger,Le code postal de ma ville est bien correct et vous le refusez.
J'aimerai poser une question autour du coronavirus,"Suite à l’article paru dans Nice Matin d’hier, l’ARS organise t’elle la pénurie de vaccins en organisant déjà la la 2ieme injection ? \nImpossible d’avoir un rendez vous pour la première injection, mais pour la 2ieme c’est possible à partir"
S'abonner ou se désabonner à nos newsletters,Suis-je bien désabonné ?
Replay,Comment faire pour visionner une video apres le delai de 7 jours?
Mon compte france.tv,Lorsque je veux m'ins écrire la boite de dialogue indique systématiquement que mo adresse mail est invalide.....que faire ?
Replay,bonjour je recherche en replay un documentaire
Replay,"Bonjour, Je n'ai pas le son pour voir un extrait de la VIDEO La Garçonne?"""
Mon compte france.tv,j'ai pas recu le mots de passe
S'abonner ou se désabonner à nos newsletters,je ne veux plus recevoir de mail de votre pars
Comment contacter le service client ?,je cherche le numeéro du service de presse
Replay,Il n y a plus les relais de amour gloire et beauté depuis le 2 décembre pourquoi ?
J'aimerai poser une question autour du coronavirus,livreur
Mon compte france.tv,je remplis le questionnaire pour m'inscrire et on me demande de recommencer sans cesse
Mon compte france.tv,En donnant accès au contenu sans création de compte
Comment contacter le service client ?,bonjour je souhaiterais contacter ftv pour une convocation a une conference de presse
Mon compte france.tv,Je suis inscrite mais ça ne marche
Mon compte france.tv,changer le mot d e passe
J'habite à l'étranger,écouter fort boyard au camada
Comment proposer un sujet ?,comment vous envoyer un document
Quel est le programme TV ?,"Votre chat me fait faire des fautes, revoir les programmations du"
Replay,aucune video en replay ne s'ouvre sur France 2 ou France 3
Les directs,"je n ai pas de tele , j aimerais voir a l aide de mon ordinateur un programe sur les chaines de television ,"
Comment proposer un sujet ?,Avez vous besoin d'un Photographe ?
Replay,sur mac
Quel est le programme TV ?,Combien de chaînes y a-t-il ?
Quel est le programme TV ?,Programme tv 14h
Comment contacter un animateur ?,"bonjour, est ce quil est possible de contacter Elise Lucet ? Merci"
Mon compte france.tv,"malgré de multiples réinitialisation de mots de pass, impossible d'avoir le direct"
S'abonner ou se désabonner à nos newsletters,"Je souhaite me désabonner, comment faire ?"
Comment proposer un sujet ?,Je veux proposer un reportage
J'aimerai poser une question autour du coronavirus,Je suis français vivant au Belize et souhaite venir en vacance au mois d'Aout. La plupart des vols que je trouve passe par des pays qui sont fermés pour les restrictions sanitaires sauf raison impérieuse. Puis-je y faire une escale ?
J'aimerai poser une question autour du coronavirus,"bonsoir, je souhaite poser une question à propos d'émission Eurovision, a qui je dois contacter ?"
Replay,Je n'arrive plus à lire les vidéos de france.tv avec ma version de Safari 11.1.2; tout marchait bien il y a 2 jours encore.
S'abonner ou se désabonner à nos newsletters,C'est deja fait plusieurs fois et je ne recois pas de mail
Mon compte france.tv,Comment est-ce que je peux m’inscrire sur France tv?
Comment contacter un animateur ?,ou écrire à nagui
Replay,arrêt en plein milieu impossible de la regarder
S'abonner ou se désabonner à nos newsletters,je veux me desabonner
Mon compte france.tv,"Bonjour. Impossible de me loger a l'app iOS. Une erreur est survenue"""
Comment proposer un sujet ?,Donner un commentaire à là soirée consacrée au Grand Échiquier
J'habite à l'étranger,acceptez-vous les projets en belgique ?
Comment proposer un sujet ?,"Bonjour , je voudrais contacter Karim Rissouli pour lui soumettre le prebleme des intermittents hors spectacle . Nous nous trouvons dans unegrande detresse . On voudrait que notre probleme trouve une fenetre dans son programme."
Mon compte france.tv,non je ne peux rentrer ma date de naissance l'année apparaît en 1er quand
Quel est le programme TV ?,Pourquoi cele fait-il plusoeurs semaines de suites que le programme indiqué et annoncé sur france 3 à minuit est remplacé par une pièce de théâtre?
J'aimerai poser une question autour du coronavirus,"non, je parle du non respect des règles barrières sur les plateaux"
Replay,crée un nouveau compte
J'aimerai poser une question autour du coronavirus,J ai eu le covid au mois d octobre puis-je rentrer en France sans faire un test PCR
Replay,"Bonsoir, je trouve inadmissible de ne pas pouvoir regarder les replay de jardin creole sous prétexte de la situation géographique!"
S'abonner ou se désabonner à nos newsletters,je veux que ma demande de désinscription soit prise en compte
J'aimerai poser une question autour du coronavirus,Une personne atteinte d'une spondylarthrite est elle à risques ?
Replay,je n'arrive pas à voir le replay de shades of blue saison 2 épisode 9 alors que je peux voir sans problème les épisodes 7 et 8. Pour l'épisode 9 il y a un message d'erreur: erreur 4300
Replay,Je ne peux plus accéder au replay de mes vidéos sur France Ô alors que c'était possible il y a 72h.
S'abonner ou se désabonner à nos newsletters,je souhaite me désabonner de votre site
Replay,Pourquoi l episode 45 opj n est il pas en replay
Mon compte france.tv,"je souhaite supprimer mon compte, comment faire ?"
J'aimerai poser une question autour du coronavirus,protection
Mon compte france.tv,le mail n'est pas dans les spams mais il arrive dans la nuit et quand j'en prend connaissance il à au moins 2 ou 3 heures
J'habite à l'étranger,je suis au Brésil et je ne peux rien voir en replay c'est pas normal car certaines émissions sont des classiques
Replay,"« Enquête de santé » : Comment faire face à la maladie mentale ? n'est plus disponible en replay. Y a-t-il un autre moyen d'y avoir accès, à titre personnel?"
Comment contacter un animateur ?,Bonsoir Je cherche a enoyer un message a Bertrand Renard
S'abonner ou se désabonner à nos newsletters,"OUI, JE VEUX ME DESABVONNER DES 39 NEWSLETTERS de F- Télélvsions, que je reçois CHAUQE JOUR §sur ma MESSAGERIES"
Mon compte france.tv,réinitialiser mon mot de passe
Replay,Pourquoi je ne peux plus voir les replay de france.tv sur mon iPad alors que je suis en france
J'habite à l'étranger,je suis localiseé au pays bas ??
Mon compte france.tv,"Je viens de tenter de m'inscrire, hors facebook; ai entré mon adresse e-mail canadienne et créé un mot de passe de plus de 8 caractères, bien validé. Mais on me signale une erreur de façon continue et ne réussis donc pas à m'inscrire."
Mon compte france.tv,Annuler mon compte France TV
J'aimerai poser une question autour du coronavirus,"Retraités, sous sommes confinés en Bretagne depuis début mars. Pouvons-nous rejoindre notre domicile principal ? Ce cas ne figure pas dans l'attestation des 100km."
Comment contacter un animateur ?,"Bonsoir, je recherche l'adresse-mail de de la 3"
Replay,refus date de naiissance
Comment contacter un animateur ?,Je souhaite parler à un journaliste
Comment installer Chromecast ?,Problème technique chromecast ne s'affiche pas
Mon compte france.tv,j'étais connecté et aujourdhui il m est impossible de me connecter ni de m'inscrire
J'aimerai poser une question autour du coronavirus,confiné
Mon compte france.tv,je n'arrive pas ame contacter
Quel est le programme TV ?,grille des programmes
Replay,pourquoi je n'arrive plus à regarder les vidéos de france tv
Comment proposer un sujet ?,Un témoignage
Comment contacter le service client ?,le formulaire de contact ne fonctionne pas
S'abonner ou se désabonner à nos newsletters,je voudrais me désabonner de la lettre France info
Mon compte france.tv,Comment supprimer mon compte ?
Replay,Pourquoi l'intégrale de Prodiges 2019 n'est pas disponible ?
J'aimerai poser une question autour du coronavirus,"Pourquoi ne parle-t'on jamais des médicaments contre le coronavirus, en particulier le Monulpiravir? Nicolas, Lille."
Mon compte france.tv,je n'arrive pa à ouvrir mon compte sur le site de france Info
S'abonner ou se désabonner à nos newsletters,ME DESABONNER
Mon compte france.tv,"Bonjour, impossible de me connecter......."
Comment contacter un animateur ?,ma fille de 6 ans reve de voir nagui
S'abonner ou se désabonner à nos newsletters,tous desabonner
Replay,cela concerne tous les exclus France tv sur ipad
Replay,"Pourquoi je ne peux plus voir france TV sur mon ordinateur, ni direct, ni replay"
Replay,DCI Banks saison 5 sera t-il en replay
J'aimerai poser une question autour du coronavirus,Combien de km pour allez a
Mon compte france.tv,plusieurs fois que cela m'arrive : bug dans la nouvelle version ?
Comment contacter le service client ?,tarif service payants
Replay,ça ne fonctionne pas....de plus en plus souvent
Comment contacter le service client ?,"Pour la deuxième fois depuis quinze jour,il n'y a plus moyen de revoir des émissions de France 3 Picardie comme le journal de 19h00 Picardie,ni le Dimanche en politique uniquement en Picardie.Je n'ai pas changé d'ordinateur ni ligne ni fao"
Comment contacter le service client ?,Avez vous un chat pour communiquer
J'habite à l'étranger,comment regarder un replay à partir de la norvège
Mon compte france.tv,on me di que ma date de maisance m'est pas bonne
Comment activer les sous-titres ?,Pourquoi n'y a t'il plus de sous-titrs sur les séries policières ?
Replay,wo nist du ?
S'abonner ou se désabonner à nos newsletters,"BONJOUR, je veux me désinscrire de votre site et je n'y arrive pas, pas de possibilité apparemment"
Comment proposer un sujet ?,Fait Divers à signaler loire
Mon compte france.tv,Changer mon adresse
Comment proposer un sujet ?,je ne supporte pas les homages que vous rendez dans les emissions
Comment contacter le service client ?,Il s'agit d'un communiqué de presse
Mon compte france.tv,Bonjour je n'arrive plus à me connecter
Replay,"Merci, mais l'emission semble suspendue et n'a pas eu lieu ce soir??"
Comment contacter le service client ?,bonsoir je recherche l'emission la minute de l'emploi diffusé le 08/12/2020 en Savoie concernant une couturière
Les directs,ET c est ce qui empeche de lire un direct ??
Comment proposer un sujet ?,"Pouvez-vous faire une enquête sur les pratiques de bouygues telecom qui augmente le prix de ses forfaits unilatéralement alors qu'il les a vendu à un prix fixe pour la vie ? Pour exemple, c'est le forfait b&you 20Go à 4,99€."
Replay,J'ai regardé pedant le confinement un reportage d'une enseignante qui avait animer avec ses éléves de ZEP un concours d'éloquence. Je n'arrive pas à reyrouver le relay ? pouvez vous m'aider?
Mon compte france.tv,ce n'est pas ce que je vous ai demande. Le mot de passe je m'en fous c'est l'adresse mail qui doit être changée
Comment proposer un sujet ?,"Nous souhaiterions un reportage de notre résidence médicalisée pour séniors dépendants mais aussi autonomes, située à Hammamet en Tunisie,"
Mon compte france.tv,j' ai cliqué sur le mail reçu et je ne peux pas changer mon mot de passe
J'aimerai poser une question autour du coronavirus,"Si la vaccination semble aujourd'hui la réponse à la dissémination du coronavirus,qu'en est il le de la recherche d'un traitement anti viral qui pourrait aussi être une réponse ?"
Comment contacter le service client ?,"Bonjour, est-ce que je peux avoir le mail de votre redaction?"
S'abonner ou se désabonner à nos newsletters,ANNULER TOUS VOS ABONNEMENTS AUXQUELS JE NE ME SUIS JAMAIS INSCRIT MERCI
Comment proposer un sujet ?,"Bonsoir, pouvez vous aider à l'aménagement d'une nouvelle boutique ?"
Replay,je voudrais regarder carte blanche en replay
Replay,"Bjr, toutes mes videos s'arretent régulièrement"
Comment contacter le service client ?,J'ai besoin de contacter l'équipe des finances
Comment proposer un sujet ?,systeme allumage automatique de la lumiere dans ma maison la nuit en me déplacant je voudrais vous inviter a venir constater a mon domicile ce systeme tres pratique pour personne agées et pour un cout modéréé .
Les directs,direct sur france 2
Replay,la vidéo ne se lance pas
S'abonner ou se désabonner à nos newsletters,"Bonjour, je veux desabonné sur cette page ?"
Comment proposer un sujet ?,donner mon avis
J'aimerai poser une question autour du coronavirus,La gelé royal peut elle jouait un rôle de protection contre le co id 19
Replay,"Bonjour, je souhaite annuler une lecture de série en cours"
Comment proposer un sujet ?,comment envoyer un mail pour donner un avis sur une emission
Mon compte france.tv,"bonjour, pas moyen de me connecter"
Mon compte france.tv,a part la réinitialisation du mot de passe d'autres solutions
Mon compte france.tv,"Oui je suis d'accord mais le mail que l'on m'envoie ne permet pas de changer de mot de passe, ce n'est plus comme avant"
Comment contacter le service client ?,parler à un humain
Replay,pas possible de voir le lundi le replay de DCI Banks diffusé la veille ?
S'abonner ou se désabonner à nos newsletters,cessez les newsletter
Comment contacter le service client ?,Je souhaite contacter france 2 par mail
Comment contacter le service client ?,toute la france veut le retour de riding zone svp pitie c etait la meilleure emission et de loin svvvp parlez en a votre direction pitie au lieu de mettre votre budjet dans des telefilms bidon faite un effort allez je compte sur vous je vou
Comment contacter le service client ?,"Bonjour, j'ai une photo prise le 4 01 2006 sur le bivouac du DAKAR à TANTAN, l'année où Luc ALPHAND a gagné. Comment lui faire parvenir 14 ans jour pour jour plus tard ?"
Replay,Je ne peux plus acceder aux fonctions avance retour ou pause sur les épisodes que je regarde
Replay,bonjour je voudrais regardé guadeloupe la 1er en direct
J'aimerai poser une question autour du coronavirus,Pourquoi ne pas travailler avec le vaccin russe? On ne parle que du vaccin pfizer?
J'habite à l'étranger,je suis à l'étranger !!
J'aimerai poser une question autour du coronavirus,Info COVID-19
Mon compte france.tv,J'essaie de me connecter mais je n'y parviens pas
J'aimerai poser une question autour du coronavirus,"peut-on enfin parler de tous les travailleurs sociaux qui ont continué à travailler en Mecs pendant le confinement sans aucune aide, outil particulier, qui ont été instituteur, infirmier pour la bobologie en plus d'être éducateur."
Quel est le programme TV ?,Savoir si une émission sera de nouveau diffusee
J'habite à l'étranger,Je suis confinée en Italie et France 2 me manque. Peut-on suivre vos émission? Et si c'est le cas comment s'y prendre?
J'aimerai poser une question autour du coronavirus,Quand on reprend le travail est ce que l'employeur doit nous faire passer un test je travaille dans le transport scolaire
Replay,Je cherche à regarder la saison 2 Indian Summers en replay
Replay,Je ne peux plus visionner les programmes à l’avance.
Replay,"je n'arrive pas à créer mon compte sur france télévisions, ma date de naissance est invalide"
Comment contacter le service client ?,bonjour comment contacter la redaction france television pour leur faire parvenir un communique de presse svp
Comment contacter le service client ?,comment avoir le contact mail des intervenants sur les reponses donnés juridique
Comment contacter le service client ?,"Bonjour, je cherche à vous joindre afin de vous transmettre une demande de devis pour communiquer sur votre chaîne télévisée. A qui dois-je m'adresser je vous prie ?"
J'habite à l'étranger,je suis française et je réside en italie. Vos émissions sont elles accessibles de l étranger ?
J'aimerai poser une question autour du coronavirus,Quand le gouvernement va commencer une campagne de vaccination pour les français de l'étranger ?
J'aimerai poser une question autour du coronavirus,Et où en est la chine par rapport à ce dévient
Comment contacter le service client ?,Je suis vraiment déçue de constater la suppression de l emission LA MAISON FRANCE 5 programmée le vendredi soir et le samedi après-midi ces dernières semaines et finalement supprimée semble t il au profit de programmes c
Replay,Comment regarder un replay france TV sur son téléviseur ?
Comment contacter un animateur ?,Bonjour je souhaite être mise en relation avec un journaliste d'investigation.
Comment proposer un sujet ?,Proposition sujet
Les directs,Je voudrais regarder la TV les informations de première comme avant
Mon compte france.tv,Je voudrais eliminer mon inscription au service
Comment contacter le service client ?,Bonjour depuis quelque temps pour les émissions de la 5 je n ai que la dernière émission avec indication S00 à côté du programme je ne peux accéder aux émissions antérieures je suis chez SFR merci de votre reponse
Replay,Je veut voir demain nous appartient
Mon compte france.tv,Je ne sais pas comment faire pour s'inscrire
Comment contacter le service client ?,Avez vous une adresse mail?
Replay,Non pas de code erreur. C'est les fonctions du lecteur qui ne fonctionnent pas ou disparaissent. Cela est pour toutes les videos.
Replay,je ne parviens pas a demarrer une video en replay
J'habite à l'étranger,"J'habite au Danemark, estce'que un probleme"
Replay,Impossible de regarder les repas sur tablette
Comment contacter le service client ?,"Bonjour, je cherche à contacter le service des ressources humaines"
Comment contacter le service client ?,Changement d'adresse
Thalassa,Regarder thalssa
Replay,17 juin ça ne marche toujours pas
Comment proposer un sujet ?,je souhite faire parvenir un mail à la rédaction pour un fait de justice
J'aimerai poser une question autour du coronavirus,"Msua fille est sur le point d'accoucher. M'est-il possible de me rendre chez elle à 400kms afin de l'aider et de m'occuper de ses animaux domestiques? Une pré-declaration de naissance a été effectuée,"
Quel est le programme TV ?,les programmes tv
Replay,"tous les replays bug depuis 3 jours des le debut , aucune possibilité de voir un replay"
Mon compte france.tv,connection impossible !
Replay,pourquoi je ne peux peux telecharger une vidéo sur francetv
Replay,bonsoir je souhaiterais voir la vidéo concernent foyer hebergement de gavrus 14210 année 2011 le reportage parce que je suis de dans je suis mr gautier wilfried
Replay,site web via safari direct et replay Ca cherche mais n aboutit pas
Mon compte france.tv,"bonjour, je n'arrive plus à me connecter à mon compte"
Mon compte france.tv,Bonjour. Comment procéder pour me désinscrire de l'application France.tv ? Je vous remercie d'avance pour votre réponse idéalement par retour. Cordialement. Emmanuel Boucheron Seguin.
Tour de France 2021,Dimanche le tour de france passera dans mon village BOULETERNERE . Bien que moins réputé que SERABONNE il mérite d'etre signalé par vos reporters.Notamment pour son clocher donjon qui domine le village et qui surmonte 2 eglises jointives
Mon compte france.tv,je n'arrive pas a mètre mon compte postal
Comment contacter le service client ?,"Bonsoir, je voudrais savoir quel est le morceau joue au piano en live par Katia Buniatischvili a l'emission 20h30 dimanche"" hier soir"""
Replay,documentaire sur le chien est le meilleur ami de l'homme en replaysur quelle chaine
Mon compte france.tv,qovrir un compte
J'aimerai poser une question autour du coronavirus,je voudrais poser une question sur le #onvousrepond
Replay,"bonjour , je n'arrive plus regarder les replays"
Comment proposer un sujet ?,quelle date de diffusion inscrire alors que je propose seulement un sujet?
Replay,"Bonjour, je souhaite revoir un dcumentaire qui n'est plus accessible en replay..."
Comment contacter le service client ?,quelle est l'adresse mail de france 3 draguignan
Mon compte france.tv,je ne peux pas supprimer mon ancienne adresse @laposte.com l'a supprimé
J'habite à l'étranger,géoblocage
Comment contacter le service client ?,A qui envoyer un projet de série TV fiction numérique ?
Mon compte france.tv,Bonjour depuis hier je ne peux plus me connecter (une erreur est survenue............) et aujourd'hui mêle chose je n'arrive même pas à rentrer mn adresse mail dans mot de passe oublié
Tour de France 2021,Puis je regarder le tour de france en grece avec l'application france tv
Comment contacter le service client ?,Un message vient à l'écran et me dit de rester connectée...ça veut dire quoi ???
Les directs,france 2
Replay,"je recherche le replay de l'emission du 16 juin , les pouvoirs extraordinaires du corps humain sur le mal de dos"
Comment contacter le service client ?,Est il vrai que vous deprommaer la maison France 5 ?
Comment contacter le service client ?,Maintien de France 4
Comment contacter le service client ?,est il possible de se procurer une ancienne émission auprès de vous ?
J'aimerai poser une question autour du coronavirus,Si on mets la chloroquine entre parenthèses pourquoi n administré t on pas l azythromicyne qui permet d avoir des résultats concluants
Les directs,bonjour je voudrais regarder les championnats de natation à Budapest
J'aimerai poser une question autour du coronavirus,Pourriez vous aborder le cas des étudiants en soins infirmiers et médicaux qui sont actuellement réquisitionnés ou retirés de leurs stages au détriment de leur formation. ils n'ont plus de formation pratique et les validations sont ajournée
Replay,Cela concerne les émissions en direct et en replay.
Replay,replay vendredi 26 juin
Comment contacter le service client ?,comment envoyer un email?
Mon compte france.tv,changement de mail
Comment contacter le service client ?,Bonjour Je suis professeure et pour traiter le harcelement de rue je passais la video de Choe Ponce Voiron du 27/10/2017. C'était un support vraiment bien pour lancer le débat. Or elle n'est plus disponible. Est-ce possible de l'avoir ?
Replay,je ne trouve aucun épisode
J'aimerai poser une question autour du coronavirus,Je voudrai poser une questions
S'abonner ou se désabonner à nos newsletters,"Je souhaite me désabonner, je n ai pas demandé de recevoir des mails de France"
Comment proposer un sujet ?,J’ai rédigé un article sur « le défi mondial de la régulation du Web » (975 caractères) que j’aimerais publier dans votre journal en ligne.
Mon compte france.tv,peux pas créer mon compte
Tour de France 2021,Lors de vos reportages aériens sur le tour pour de très belles prises de vues grâce aux hélicoptères
Les directs,france televison en direct
